KAB. ACEH BARAT,4.4543,96.1527,0
KAB. ACEH BARAT DAYA,3.7963,97.0068,1
KAB. ACEH BESAR,5.4529,95.4778,2
KAB. ACEH JAYA,4.7874,95.6458,3
KAB. ACEH SELATAN,3.3115,97.3517,4
KAB. ACEH SINGKIL,2.3589,97.8722,5
KAB. ACEH TAMIANG,4.2329,98.0029,6
KAB. ACEH TENGAH,4.4483,96.8351,7
KAB. ACEH TENGGARA,3.3089,97.6982,8
KAB. ACEH TIMUR,4.5224,97.6114,9
KAB. ACEH UTARA,4.9786,97.2221,10
KAB. BENER MERIAH,4.7514,96.9525,11
KAB. BIREUEN,5.1086,96.6638,12
KAB. GAYO LUES,3.9552,97.3517,13
KAB. NAGAN RAYA,4.1248,96.493,14
KAB. PIDIE,5.0743,95.941,15
KAB. PIDIE JAYA,5.1548,96.1951,16
KAB. SIMEULUE,2.644,96.0256,17
KOTA BANDA ACEH,5.5483,95.3238,18
KOTA LANGSA,4.4725,97.9756,19
KOTA LHOKSEUMAWE,5.1812,97.1413,20
KOTA SABANG,5.8926,95.3238,21
KOTA SUBULUSSALAM,2.7121,97.9157,22
KAB. ASAHAN,2.8175,99.6341,23
KAB. BATUBARA,3.1741,99.5006,24
KAB. DAIRI,2.8676,98.2651,25
KAB. DELI SERDANG,3.4202,98.7041,26
KAB. HUMBANG HASUNDUTAN,2.1989,98.5721,27
KAB. KARO,3.1053,98.2651,28
KAB. LABUHANBATU,2.344,100.1703,29
KAB. LABUHANBATU SELATAN,1.8799,100.1703,30
KAB. LABUHANBATU UTARA,2.3466,99.8125,31
KAB. LANGKAT,3.8654,98.3088,32
KAB. MANDAILING NATAL,0.7432,99.3673,33
KAB. NIAS,1.0869,97.7417,34
KAB. NIAS BARAT,1.0116,97.4814,35
KAB. NIAS SELATAN,0.7086,97.8286,36
KAB. NIAS UTARA,1.3166,97.3949,37
KAB. PADANG LAWAS,1.1187,99.8125,38
KAB. PADANG LAWAS UTARA,1.5759,99.6341,39
KAB. PAKPAK BHARAT,2.5135,98.2213,40
KAB. SAMOSIR,2.6274,98.7922,41
KAB. SERDANG BEDAGAI,3.3372,99.0571,42
KAB. SIMALUNGUN,2.9782,99.2786,43
KAB. TAPANULI SELATAN,1.5775,99.2786,44
KAB. TAPANULI TENGAH,1.8493,98.7041,45
KAB. TAPANULI UTARA,2.0405,99.1013,46
KAB. TOBA SAMOSIR,2.3502,99.2786,47
KOTA BINJAI,3.6135,98.5025,48
KOTA GUNUNGSITOLI,1.2805,97.6147,49
KOTA MEDAN,3.5952,98.6722,50
KOTA PADANGSIDEMPUAN,1.3722,99.273,51
KOTA PEMATANGSIANTAR,2.97,99.0682,52
KOTA SIBOLGA,1.7368,98.7851,53
KOTA TANJUNGBALAI,2.9662,99.7985,54
KOTA TEBING TINGGI,3.3263,99.1567,55
KAB. AGAM,-0.2209,100.1703,56
KAB. DHARMASRAYA,-1.1121,101.6158,57
KAB. KEPULAUAN MENTAWAI,-1.426,98.9245,58
KAB. LIMA PULUH KOTA,0.0734,100.5296,59
KAB. PADANG PARIAMAN,-0.5547,100.2152,60
KAB. PASAMAN,0.2209,100.1703,61
KAB. PASAMAN BARAT,0.2213,99.6341,62
KAB. PESISIR SELATAN,-1.7223,100.8903,63
KAB. SIJUNJUNG,-0.6647,101.0712,64
KAB. SOLOK,-0.9644,100.8903,65
KAB. SOLOK SELATAN,-1.4157,101.2524,66
KAB. TANAH DATAR,-0.4797,100.5746,67
KOTA BUKITTINGGI,-0.3039,100.3835,68
KOTA PADANG,-0.9471,100.4172,69
KOTA PADANGPANJANG,-0.4661,100.3984,70
KOTA PARIAMAN,-0.6257,100.1233,71
KOTA PAYAKUMBUH,-0.2298,100.6309,72
KOTA SAWAHLUNTO,-0.6841,100.7323,73
KOTA SOLOK,-0.7885,100.655,74
KAB. BENGKALIS,1.4139,101.6158,75
KAB. INDRAGIRI HILIR,-0.1457,102.9896,76
KAB. INDRAGIRI HULU,-0.7361,102.2548,77
KAB. KAMPAR,0.1467,101.1617,78
KAB. KEPULAUAN MERANTI,0.9209,102.6676,79
KAB. KUANTAN SINGINGI,-0.4412,101.5248,80
KAB. PELALAWAN,0.1461,102.2548,81
KAB. ROKAN HILIR,1.6464,100.8,82
KAB. ROKAN HULU,1.0411,100.4397,83
KAB. SIAK,0.8119,101.798,84
KOTA DUMAI,1.6666,101.4002,85
KOTA PEKANBARU,0.5071,101.4478,86
KAB. BINTAN,1.0619,104.5189,87
KAB. KARIMUN,0.7698,103.4049,88
KAB. KEPULAUAN ANAMBAS,3.1055,105.6537,89
KAB. LINGGA,-0.4726,104.4258,90
KAB. NATUNA,4.0,108.25,91
KOTA BATAM,1.1301,104.0529,92
KOTA TANJUNG PINANG,0.9186,104.4665,93
PULAU TAMBELAN KAB. BINTAN,1.1216,107.3259,94
PEKAJANG KAB. LINGGA,-0.0752,104.6305,95
PULAU SERASAN KAB. NATUNA,2.5179,109.0513,96
PULAU MIDAI KAB. NATUNA,2.9979,107.7755,97
PULAU LAUT KAB. NATUNA,4.7103,107.971,98
KAB. BATANGHARI,-1.7084,103.0818,99
KAB. BUNGO,-1.6401,101.8892,100
KAB. KERINCI,-1.872,101.4339,101
KAB. MERANGIN,-2.1753,101.9805,102
KAB. MUARO JAMBI,-1.5521,103.8216,103
KAB. SAROLANGUN,-2.323,102.7135,104
KAB. TANJUNG JABUNG BARAT,-1.1058,103.0818,105
KAB. TANJUNG JABUNG TIMUR,-1.1024,103.8216,106
KAB. TEBO,-1.2593,102.3464,107
KOTA JAMBI,-1.6101,103.6131,108
KOTA SUNGAI PENUH,-2.0634,101.3947,109
KAB. BENGKULU SELATAN,-4.3248,103.0357,110
KAB. BENGKULU TENGAH,-3.6962,102.3922,111
KAB. BENGKULU UTARA,-3.2663,101.9805,112
KAB. KAUR,-4.5216,103.2663,113
KAB. KEPAHIANG,-3.613,102.6676,114
KAB. LEBONG,-3.1455,102.209,115
KAB. MUKOMUKO,-2.6449,101.4339,116
KAB. REJANG LEBONG,-3.4548,102.6676,117
KAB. SELUMA,-4.0499,102.7135,118
KOTA BENGKULU,-3.7928,102.2608,119
KAB. BANYUASIN,-2.6096,104.7521,120
KAB. EMPAT LAWANG,-3.7286,102.8975,121
KAB. LAHAT,-3.8009,103.3587,122
KAB. MUARA ENIM,-3.7114,104.0072,123
KAB. MUSI BANYUASIN,-2.5442,103.7289,124
KAB. MUSI RAWAS,-3.0957,103.0818,125
KAB. MUSI RAWAS UTARA,-2.7878,102.7135,126
KAB. OGAN ILIR,-3.4265,104.6121,127
KAB. OGAN KOMERING ILIR,-3.456,105.2195,128
KAB. OGAN KOMERING ULU,-4.0283,104.0072,129
KAB. OGAN KOMERING ULU SELATAN,-4.6682,104.0072,130
KAB. OGAN KOMERING ULU TIMUR,-3.8568,104.7521,131
KAB. PENUKAL ABAB LEMATANG ILIR,-3.2398,104.0072,132
KOTA LUBUKLINGGAU,-3.2996,102.8572,133
KOTA PAGAR ALAM,-4.042,103.2279,134
KOTA PALEMBANG,-2.9761,104.7754,135
KOTA PRABUMULIH,-3.4214,104.2437,136
KAB. BANGKA,-1.8743,105.923,137
KAB. BANGKA BARAT,-1.8405,105.5005,138
KAB. BANGKA SELATAN,-2.7411,106.4406,139
KAB. BANGKA TENGAH,-2.4008,106.2051,140
KAB. BELITUNG,-2.7217,107.7636,141
KAB. BELITUNG TIMUR,-2.8678,108.1429,142
KOTA PANGKAL PINANG,-2.1316,106.1169,143
KAB. LAMPUNG TENGAH,-4.8008,105.3131,144
KAB. LAMPUNG UTARA,-4.8134,104.7521,145
KAB. LAMPUNG SELATAN,-5.5623,105.5474,146
KAB. LAMPUNG BARAT,-5.1095,104.1466,147
KAB. LAMPUNG TIMUR,-5.1135,105.6882,148
KAB. MESUJI,-4.0045,105.3131,149
KAB. PESAWARAN,-5.4932,105.0791,150
KAB. PESISIR BARAT,-5.2928,104.1234,151
KAB. PRINGSEWU,-5.3331,104.9856,152
KAB. TULANG BAWANG,-4.3177,105.5005,153
KAB. TULANG BAWANG BARAT,-4.5257,105.0791,154
KAB. TANGGAMUS,-5.3027,104.5655,155
KAB. WAY KANAN,-4.4964,104.5655,156
KOTA BANDAR LAMPUNG,-5.3971,105.2668,157
KOTA METRO,-5.1178,105.3073,158
KAB. LEBAK,-6.5644,106.2522,159
KAB. PANDEGLANG,-6.7483,105.6882,160
KAB. SERANG,-6.1397,106.0405,161
KAB. TANGERANG,-6.1872,106.4877,162
KOTA CILEGON,-6.0025,106.0111,163
KOTA SERANG,-6.1104,106.164,164
KOTA TANGERANG,-6.2024,106.6527,165
KOTA TANGERANG SELATAN,-6.2835,106.7113,166
KAB. BANDUNG,-7.1341,107.6215,167
KAB. BANDUNG BARAT,-6.8652,107.492,168
KAB. BEKASI,-6.2474,107.1485,169
KAB. BOGOR,-6.5518,106.6291,170
KAB. CIAMIS,-7.3321,108.3493,171
KAB. CIANJUR,-7.358,107.1957,172
KAB. CIREBON,-6.6899,108.4751,173
KAB. GARUT,-7.5012,107.7636,174
KAB. INDRAMAYU,-6.3373,108.3258,175
KAB. KARAWANG,-6.3227,107.3376,176
KAB. KUNINGAN,-7.0138,108.5701,177
KAB. MAJALENGKA,-6.7791,108.2852,178
KAB. PANGANDARAN,-7.6151,108.4988,179
KAB. PURWAKARTA,-6.5649,107.4322,180
KAB. SUBANG,-6.3488,107.7636,181
KAB. SUKABUMI,-6.8649,106.9536,182
KAB. SUMEDANG,-6.8329,107.9532,183
